độ ép	°F
độ xê	°C
độ sê	°C
ki lô mét	km
mét	m
xen ti mét	cm
xăng ti mét	cm
mi li mét	mm
héc ta	ha
mét vuông	m²
ki lô mét vuông	km²
phần trăm	%
hớt	hz
ki lô oát	kW
mã lực	hp
mi li gam	mg
ki lô gam	kg
hớt	Hz
gi ga hớt	gHz
ki lô hớt	kHz
mê ga hớt	mHz
héc	Hz
gi ga héc	gHz
ki lô héc	kHz
mê ga héc	mHz
vôn	V
tiếng	h
giờ	h
mê ga cu lông	mC
giây	s
na nô mét	nm
phút	p
am pe A
ăm pe A
mi li am pe	mA
mi li ăm pe	mA
ki lô oát giờ	kwh
mét khối	m³
oát	W
te ra oát	tW
tê ra oát	tW
mi li vôn	mV
mê ga oát	mW
mi cờ rô mét	μm
te ra bai	TB
tê ra bai	TB
gam	g
át mốt phe	atm
ôm	ω
đề xi ben	dB
mi cờ rô gam	μg
gi ga bai	GB
ki lô bít	Kb
mê ga bai	MB
ki lô bai	KB
ki lô bít trên giây	Kbps
mê ga bít trên giây	Mbps
ki lô vôn	kV
mê ga vôn	mV
ki lô niu tơn	kn
ra di an	rad
mon	mol
lít	l
mi li lít	ml
gi ga oát	gw
mê ga am pe	ma
na nô gam	ng
na nô giây	ns
mi cờ rô giây	μs
mi li giây	ms
đề xi mét	dm
mê ga bít	Mb
mi li mét vuông	mm²
xen ti mét vuông	cm²
xăng ti mét vuông	cm²
gi ga oát giờ	gwh
ca lo	cal
ki lô ca lo	kcal
cân	kg
lạng	lạng
yến	yến
tạ	tạ
tấn	tấn
độ	°
phân	cm
năm	năm
